Title,Company,Location,Created,Description
Data Analyst (Fresher) – Remote,AppZime Technologies,India,2026-06-16T09:31:03Z,"Data Analyst (Fresher) – Remote Company: AppZime Technologies Salary Range: ₹30,000 – ₹45,000/month Employment Type: Full-Time Contact Person: https://www.linkedin.com/in/harshit2904 About Us At AppZime Technologies, we build digital solutions and AI-driven products that help businesses scale faster. From IT staffing to innovative tech platforms, we focus on creating impactful digital experiences. We are looking for a passionate and analytical Data Analyst Fresher who loves working with data, f…"
Data Analyst Power BI,Persistent Systems,India,2026-06-11T21:10:11Z,"About Position: We are looking for an experienced Data Analyst having strong knowledge on MS SQL, Data Modeling & Integration, Statistics. You will help us build scalable, efficient cloud infrastructure. Youll implement monitoring for automated system health checks. Youll build our CI pipeline, and train and guide the team. Role: Data Analyst Power BI Location: All Persistent Locations Experience: 6 Years to 10 Years Job Type: Full Time Employment What You'll Do: Design, develop, and maintain i…"
Portfolio Data Analyst (Coimbatore),Arcana,India,2026-03-14T03:06:55Z,"We are seeking dynamic Portfolio Data Analysts to join our team and collaborate closely with our founders, financial analysts, product managers, and engineers. In this role, you'll play a pivotal part in supporting our client onboarding and success team. You'll need a strong ability to analyze financial data, translate insights into actionable strategies, and effectively guide clients through our platform's features to drive their success. This is a hybrid role based out of Arcana’s Coimbatore …"
Online Data Analyst Gujarati,TELUS Digital,India,2026-05-23T17:57:47Z,"Are you a detail-oriented individual with a passion for research and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from the comfort of your own home. A Day in the Life of an Online Data Analyst: In this role, you will be working on a project aimed at enhancing the content and quality of digital maps that are used by millions of people worldwide Completing research and evaluation tasks in a web-based environment such as v…"
Data Analyst (Telecom Domain),Selections HR Services Private Limited,"Bangalore, Karnataka",2026-06-11T21:08:31Z,"Senior Consultant – Telecom Data Analytics Want to join the team which is re-imagining existing industry business processes and creating new services to help customers navigate their Digital Journeys through a combination of Analytics, Machine Learning, AI, Intelligent Automation and deep domain expertise to drive ‘Impactful’ experience and effectiveness? Are you an expert in Telecom Data analytics , possibly with 8 – 12 years of industry experience We are seeking a Telecom Data Analyst to driv…"
Data Analyst – Power Platform,Innover Digital,"Bangalore, Karnataka",2026-05-23T17:52:59Z,"About Us: Innover is an award-winning AI-first engineering firm, transforming businesses through Experience Engineering, Digital Engineering, and Process Engineering. Our interconnected competencies seamlessly deliver comprehensive industry solutions—Experience Engineering shapes visionary strategies, Digital Engineering brings them to life, and Process Engineering ensures flawless execution. With deep technical expertise and business acumen, we’ve empowered over 65 Fortune 1000 companies to ac…"
Data Analyst and Coordination Executive,The MEP Club,"Hyderabad, Telangana",2026-06-16T09:29:56Z,"Looking for someone who can support with data research, database preparation, outreach coordination, follow-ups, and basic analysis for an upcoming initiative. This will be a part-time or project-based role for the next 2 to 3 months. Responsibilities: Research and prepare structured databases Collect and organize relevant information from different sources Maintain clean trackers in Excel or Google Sheets Identify the right people or organizations to connect with Send professional messages and…"
Data Analyst/Engineer – SCG India,SCG,"New Delhi, Delhi",2025-09-12T19:47:19Z,"About SCG in India SCG, Southeast Asia’s leading industrial conglomerate, is expanding in India with a focus on sustainable building materials, modern construction solutions, and digital transformation . Beyond advanced products, SCG is building capabilities in data-driven operations and analytics , leveraging India’s talent base to strengthen decision-making and performance. About the Role As a Data Analyst/Engineer, you will transform raw data into insights that support business growth, opera…"
Online Data Analyst - Odia Language.,TELUS,India,2026-04-25T07:57:22Z,"Job description Are you a research-minded individual with a keen eye for detail and a good understanding of national and local geography? This freelance opportunity allows you to work at your own pace and from home. A day in the life of an online data analyst: In this role, you will work on a project that aims to improve the content and quality of digital maps used by people around the world. Conduct research and evaluation in a web-based environment, including data verification, comparison, an…"
Macro Economist / Senior Data Analyst,Bajaj Consumer Care,"Mumbai, Maharashtra",2026-06-13T18:51:33Z,"ABOUT THE ROLE We are building a macro intelligence capability within our consumer business at Bajaj Consumer Care. This is a newly created, high-visibility role designed for an economist or data analyst who can read India’s macroeconomic environment and translate it into strategic insights that directly shape business decisions. You will serve as the in-house macro intelligence engine — connecting economic signals to consumer behaviour, advising leadership, and helping the organisation stay ah…"
Senior Data Analyst - MS Fabric,enGen Global,"Chennai, Tamil Nadu",2026-05-29T00:24:56Z,"ROLE: Senior Data Analyst Key skills required - MS Fabric, Power BI Dashboards and Report development Experience - 9-12 yrs Shift- 3pm-12am (Both ways cab will be provided) Job Location - Chennai /Hyderabad Mode of work - Hybrid ABOUT ORGANISATION: EnGen Global is an emerging global healthcare partner that delivers strategic innovation, expertise, and flexibility to its healthcare partners. Being a US healthcare conglomerate captive, we have direct access to deeper insights that help us acceler…"
Data Analyst - Government Projects ( Consulting Organization),Talent Integrators,India,2026-06-12T00:13:29Z,"Role Overview : We are seeking a skilled and motivated Data Analyst to support in a Government of Meghalaya project. The candidate will play a critical role in analyzing financial and taxation data, generating actionable insights, and supporting decision-making for revenue enhancement initiatives. Key Responsibilities : - Collect, clean, and analyze large datasets related to taxation and revenue. - Develop dashboards and reports using Power BI and other visualization tools. - Work closely with …"
Waliku Data Analyst - 1 yr contract,Save the Children International,India,2026-06-10T18:04:00Z,"Save the Children International has an exciting short term opportunity for a Waliku Data Analyst (12m). Waliku is a Save the Children technology team that provides bespoke solutions for digital data capture and analytics on learner education and well-being. Since inception in 2016, Waliku has grown from a proof-of-concept study and pilot to supporting Save the Children education projects in multiple sites globally. At Waliku, we provide digital data solutions, which are based on local needs, an…"
Lead Tariff Analyst (Lead Data Analyst),Digit88 Technologies,India,2026-05-29T08:24:04Z,"Position: Lead Tariff Analyst (Lead Data Analyst) Job Location : Pune (Onsite/Hybrid) Mandatory Skills : Advance Excel, SQL, Python, Team Handling Experience About Digit88: Digit88 is an AI-native product engineering partner helping startups and enterprises build, scale and operate intelligent software products. We are a lean, high-impact team of 75 technologists, backed by leaders with deep experience across startups and global enterprises. We build strong, outcome-driven engineering teams tha…"
Data Quality Analyst,Human Archive ,"Bangalore, Karnataka",2026-06-10T18:02:45Z,"Data Quality Analyst Location: Bangalore | Salary: Rs 22,000 - 30,000/month Employment Type: Full-time / Part-time | Experience: Freshers welcome About the role: We are hiring Quality Analysts to watch, trim and label video data work that directly feeds AI model training. See the work before you apply- https://www.loom.com/share/505d4e5d4bad482a9b666eafbf68f910 No technical background needed. Full training provided . What you will do: - Trim first-person video clips to exact timestamps - Label …"
